天数,顺从度,顺从度增长
951,54.269,0.037
952,54.306000000000004,0.037
953,54.343,0.037
954,54.38,0.037
955,54.417,0.037
956,54.454,0.037
957,54.491,0.037
958,54.528,0.037
959,54.565,0.037
960,54.602000000000004,0.037
961,54.639,0.037
962,54.676,0.037
963,54.713,0.037
964,54.75,0.037
965,54.787,0.037
966,54.824,0.037
967,54.861000000000004,0.037
968,54.898,0.037
969,54.935,0.037
970,54.972,0.037
971,55.009,0.037
972,55.046,0.037
973,55.083,0.037
974,55.120000000000005,0.037
975,55.157000000000004,0.037
976,55.194,0.037
977,55.231,0.037
978,55.268,0.037
979,55.305,0.037
980,55.342,0.037
981,55.379,0.037
982,55.416000000000004,0.037
983,55.453,0.036000000000000004
984,55.489000000000004,0.036000000000000004
985,55.525,0.036000000000000004
986,55.561,0.036000000000000004
987,55.597,0.036000000000000004
988,55.633,0.036000000000000004
989,55.669000000000004,0.036000000000000004
990,55.705,0.036000000000000004
991,55.741,0.036000000000000004
992,55.777,0.036000000000000004
993,55.813,0.036000000000000004
994,55.849000000000004,0.036000000000000004
995,55.885,0.036000000000000004
996,55.921,0.036000000000000004
997,55.957,0.036000000000000004
998,55.993,0.036000000000000004
999,56.029,0.036000000000000004
1000,56.065,0.036000000000000004
1001,56.101,0.036000000000000004
1002,56.137,0.036000000000000004
1003,56.173,0.036000000000000004
1004,56.209,0.036000000000000004
1005,56.245000000000005,0.036000000000000004
1006,56.281,0.036000000000000004
1007,56.317,0.036000000000000004
1008,56.353,0.036000000000000004
1009,56.389,0.036000000000000004
1010,56.425000000000004,0.036000000000000004
1011,56.461,0.036000000000000004
1012,56.497,0.036000000000000004
1013,56.533,0.036000000000000004
1014,56.569,0.036000000000000004
1015,56.605000000000004,0.036000000000000004
1016,56.641,0.035
1017,56.676,0.035
1018,56.711,0.035
1019,56.746,0.035
1020,56.781,0.035
1021,56.816,0.035
1022,56.851,0.035
1023,56.886,0.035
1024,56.921,0.035
1025,56.956,0.035
1026,56.991,0.035
1027,57.026,0.035
1028,57.061,0.035
1029,57.096000000000004,0.035
1030,57.131,0.035
1031,57.166000000000004,0.035
1032,57.201,0.035
1033,57.236000000000004,0.035
1034,57.271,0.035
1035,57.306000000000004,0.035
1036,57.341,0.035
1037,57.376,0.035
1038,57.411,0.035
1039,57.446,0.035
1040,57.481,0.035
1041,57.516,0.035
1042,57.551,0.035
1043,57.586,0.035
1044,57.621,0.035
1045,57.656,0.035
1046,57.691,0.035
1047,57.726,0.035
1048,57.761,0.035
1049,57.796,0.035
1050,57.831,0.035
1051,57.866,0.034
1052,57.9,0.034
1053,57.934000000000005,0.034
1054,57.968,0.034
1055,58.002,0.034
1056,58.036,0.034
1057,58.07,0.034
1058,58.104,0.034
1059,58.138,0.034
1060,58.172000000000004,0.034
1061,58.206,0.034
1062,58.24,0.034
1063,58.274,0.034
1064,58.308,0.034
1065,58.342,0.034
1066,58.376,0.034
1067,58.410000000000004,0.034
1068,58.444,0.034
1069,58.478,0.034
1070,58.512,0.034
1071,58.546,0.034
1072,58.58,0.034
1073,58.614000000000004,0.034
1074,58.648,0.034
1075,58.682,0.034
1076,58.716,0.034
1077,58.75,0.034
1078,58.784,0.034
1079,58.818,0.034
1080,58.852000000000004,0.034
1081,58.886,0.034
1082,58.92,0.034
1083,58.954,0.034
1084,58.988,0.034
1085,59.022,0.034
1086,59.056000000000004,0.033
1087,59.089,0.033
1088,59.122,0.033
1089,59.155,0.033
1090,59.188,0.033
1091,59.221000000000004,0.033
1092,59.254,0.033
1093,59.287,0.033
1094,59.32,0.033
1095,59.353,0.033
1096,59.386,0.033
1097,59.419000000000004,0.033
1098,59.452,0.033
1099,59.485,0.033
1100,59.518,0.033
1101,59.551,0.033
1102,59.584,0.033
1103,59.617000000000004,0.033
1104,59.65,0.033
1105,59.683,0.033
1106,59.716,0.033
1107,59.749,0.033
1108,59.782000000000004,0.033
1109,59.815,0.033
1110,59.848,0.033
1111,59.881,0.033
1112,59.914,0.033
1113,59.947,0.033
1114,59.980000000000004,0.033
1115,60.013,0.033
1116,60.046,0.033
1117,60.079,0.033
1118,60.112,0.033
1119,60.145,0.033
1120,60.178000000000004,0.033
1121,60.211,0.033
1122,60.244,0.032
1123,60.276,0.032
1124,60.308,0.032
1125,60.34,0.032
1126,60.372,0.032
1127,60.404,0.032
1128,60.436,0.032
1129,60.468,0.032
1130,60.5,0.032
1131,60.532000000000004,0.032
1132,60.564,0.032
1133,60.596000000000004,0.032
1134,60.628,0.032
1135,60.660000000000004,0.032
1136,60.692,0.032
1137,60.724000000000004,0.032
1138,60.756,0.032
1139,60.788000000000004,0.032
1140,60.82,0.032
1141,60.852000000000004,0.032
1142,60.884,0.032
1143,60.916000000000004,0.032
1144,60.948,0.032
1145,60.980000000000004,0.032
1146,61.012,0.032
1147,61.044000000000004,0.032
1148,61.076,0.032
1149,61.108000000000004,0.032
1150,61.14,0.032
1151,61.172000000000004,0.032
1152,61.204,0.032
1153,61.236000000000004,0.032
1154,61.268,0.032
1155,61.300000000000004,0.032
1156,61.332,0.032
1157,61.364000000000004,0.032
1158,61.396,0.032
1159,61.428000000000004,0.032
1160,61.46,0.031
1161,61.491,0.031
1162,61.522,0.031
1163,61.553000000000004,0.031
1164,61.584,0.031
1165,61.615,0.031
1166,61.646,0.031
1167,61.677,0.031
1168,61.708,0.031
1169,61.739000000000004,0.031
1170,61.77,0.031
1171,61.801,0.031
1172,61.832,0.031
1173,61.863,0.031
1174,61.894,0.031
1175,61.925000000000004,0.031
1176,61.956,0.031
1177,61.987,0.031
1178,62.018,0.031
1179,62.049,0.031
1180,62.08,0.031
1181,62.111000000000004,0.031
1182,62.142,0.031
1183,62.173,0.031
1184,62.204,0.031
1185,62.235,0.031
1186,62.266,0.031
1187,62.297000000000004,0.031
1188,62.328,0.031
1189,62.359,0.031
1190,62.39,0.031
1191,62.421,0.031
1192,62.452,0.031
1193,62.483000000000004,0.031
1194,62.514,0.031
1195,62.545,0.031
1196,62.576,0.031
1197,62.607,0.031
1198,62.638,0.031
1199,62.669000000000004,0.03
1200,62.699,0.03
1201,62.729,0.03
1202,62.759,0.03
1203,62.789,0.03
1204,62.819,0.03
1205,62.849000000000004,0.03
1206,62.879,0.03
1207,62.909,0.03
1208,62.939,0.03
1209,62.969,0.03
1210,62.999,0.03
